Reference_ID,Treatment_ID,experiment,coupling,water_source,fish_species,plant_species,pH_Na,pH_K,pH_Ca,remineralization,fertilizer,chelator,plant_cultivation,group
Knaus2020,Gravel,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Gravel Substrate,Silurids
Pasch2021,Aeroponics,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Aeroponics,Silurids
Pasch2021,DRF,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Dynamic Root Floating,Silurids
Pasch2021,Raft,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Floating Raft,Silurids
Pasch2021a,DRF,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Dynamic Root Floating,Silurids
Pasch2021a,Raft,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Floating Raft,Silurids
Pasch2021a,GrowPipe,aquaponics,on-demand,0,African catfish,Ocium basalicum,0,0,0,0,0,0,Grow Pipe,Silurids
Delaide2017,Lettuce,aquaponics,permanent,0,Nile tilapia,Latuca sativa,0,0,0,0,0,0,Deep flow technique,Percids
Delaide2017,Basil,aquaponics,permanent,0,Nile tilapia,Ocium basalicum,0,0,0,0,0,0,Deep flow technique,Percids
Knaus2017,Unit I,aquaponics,permanent,0,Nile tilapia,0,0,0,0,0,0,0,0,Percids
Knaus2017,Unit I,aquaponics,permanent,0,Nile tilapia,0,0,0,0,0,0,0,0,Percids
Knaus2017,Unit II,aquaponics,permanent,0,African catfish,0,0,0,0,0,0,0,0,Silurids
Knaus2017,Unit II,aquaponics,permanent,0,African catfish,0,0,0,0,0,0,0,0,Silurids
Knaus2017a,Unit I,aquaponics,permanent,0,Nile tilapia,0,0,0,0,0,0,0,0,Percids
Knaus2017a,Unit II,aquaponics,permanent,0,Common Carp,0,0,0,0,0,0,0,0,Cyprinids
Monsees2019,Control,hydroponics,-,0,Nile tilapia,Lactuca sativa,FALSE,FALSE,TRUE,0,Fertilizer,0,Nutrient film technique,Percids
Monsees2019,APunt,hydroponics,-,0,Nile tilapia,Lactuca sativa,FALSE,FALSE,TRUE,0,-,0,Nutrient film technique,Percids
Monsees2019,APdis,hydroponics,-,0,Nile tilapia,Lactuca sativa,FALSE,FALSE,TRUE,0,Fertilizer,0,Nutrient film technique,Percids
Rodgers2022,CON,hydroponics,-,0,Koi carp,Ocimum basalicum,0,0,0,0,Fertilizer,0,Dutch bucket,Cyprinids
Rodgers2022,DAP,aquaponics,on-demand,0,Koi carp,Ocimum basalicum,0,0,0,aerobic,-,0,Dutch bucket,Cyprinids
Rodgers2022,DAP+,aquaponics,on-demand,0,Koi carp,Ocimum basalicum,0,0,0,aerobic,Fertilizer,0,Dutch bucket,Cyprinids
Cerozi2020,System,aquaponics,-,0,Blue tilapia,0,0,0,0,0,-,0,-,Percids
Khiari2019,30_5.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,30_6.0,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,30_6.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,35_5.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,35_6.0,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
Khiari2019,35_6.5,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
