compound;concWater_g/m3;concWaterMax_g/m3;feedComp_g/kg;digestibility
N;50;50;66.384;0.9
P;0.02;;8.83;0.5
K;5;;7.07;0.5
Ca;100;;15.93;0.5
Mg;15;;1.95;0.5
S;50;82.5;3.88;0.5
B;0.075;1.5;0.01708;0.5
Fe;0.01;0.2;0.29133;0.5
Mn;0.001;0.05;0.07191;0.5
Zn;0.001;;0.16969;0.5
Cu;0.001;2;0.01432;0.5
Ni;0.001;0.02;0.00086;0.5
Mo;0.001;;0.00171;0.5
Na;25;0;2.59458;0.5
